cid,text,aweme_id,create_time,digg_count,reply_comment_total,ip_label
7323775152306488118,统一试卷不就完事了，然后每个省都按人数平均的出钱建设所有一本以上的高校，教育程度不好的地方可以有保障，但是录取率比教育程度好的地方还高几倍就太离谱了,7323036659463785791,1705199289,1,0,IP未知
7323751680724845351,太可怜了,7323036659463785791,1705193823,1,0,天津
7323738684950479627,河南人如果真的喜欢到黑龙江生活的话，我们欢迎。出台政策，移民到黑龙江参加高考的学生，大学毕业后必须留在黑龙江工作。那我们就没意见。,7323036659463785791,1705190797,8,1,黑龙江
7323727192536941351,建议全国统考，公平公正[比心],7323036659463785791,1705188121,2,1,山东
7323695776890159899,大庆本身就是移民城市，教育资源在黑龙江能排第二，黑龙江其他城市也有来这里学习参加高考的，为啥没人反对，人家是在这里买房落户，踏踏实实在这里上初一，一般一个家在这里生活至少七年，就是四年初中，三年高中。这次河南移民大家为啥不支持，是空降，临近中考班里突然多了不少参加考试的，考完试人就走了。空降过来就飞走了。来这里混个中考机会，要个高中学籍，要黑龙江高考红利。这种行为不支持,7323036659463785791,1705180824,5,6,黑龙江
7323649399421338383,只能说支持,7323036659463785791,1705170018,2,0,广东
7323648628378370879,格局打开，欢迎来我们山河四省,7323036659463785791,1705169841,2,1,河南
7323647686531515155,去年也有转海南的[流泪]我20年高考人数5万多人没到6万 23年高考人数8万人 三年内多了2万人,7323036659463785791,1705169624,0,0,海南
7323647629145309964,我旁边坐了个实习的小姑娘，河南的理科生，20年高考，610分上的双非,7323036659463785791,1705169616,0,5,河南
7323644580154377000,支持移民，但是得父母在黑龙江缴纳社保买房，孩子从小学一年级到高三一直在黑龙江上就可以在黑龙江高考,7323036659463785791,1705168894,4,1,黑龙江
7323639397936972563,有能力的家长给孩子多一个选择，放在哪儿都没毛病,7323036659463785791,1705167691,2,0,河南
7323638418084299531,确实是有很多 河南有很多这样的机构 办理考试移民黑龙江的！,7323036659463785791,1705167466,1,6,河南
7323634698515825444,大庆好样的！,7323036659463785791,1705166591,1,0,黑龙江
7323625757040821004,都是中国的孩子，都是中国父母，都是为了孩子有个好的未来，没什么对错，不要歧视任何地域的孩子以及父母，如果自己的孩子够优秀怕什么！,7323036659463785791,1705164511,9,93,河南
7323622980113072947,初四？,7323036659463785791,1705163861,0,0,河南
7323622798092468992,我劝天公重抖擞，不拘一格降人才。,7323036659463785791,1705163816,2,0,河南
7323621485426311951,曾经的我有个海南户口[泣不成声],7323036659463785791,1705163510,2,0,河南
7323620677814059795,当年高考，我河南考生跟同班陕西分数差了100多分,7323036659463785791,1705163324,1,4,河南
7323620593554834215,高考是按省排名招生的，说白了是省内自己争，这种情况下，人口多的省份会很吃亏，分数高，但是上不了好学校，而人口少的省份就会吃到红利，分数线低。如果统一试卷，按全国排名招生，资源差的地区肯定争不过资源好的，政策肯定要照顾这些。这个中考移民，也是为了之后的高考，是一部分人选择去人口少的省份竞争，算是人口大省的一种出路，分数线高的省份应该都有这种情况。不要说抢名额，考试看的是分数，成绩差怪不得别人。然后说教育资源差，那有条件的家长也一样会在本地挂学籍，然后去外省资源好的地方借读，然后再回来考试，本质上一样的，只要符合当地政策，就没问题。当然，违规就另说，该查,7323036659463785791,1705163306,3,1,河南
7323620118487352079,我18届的都没赶上  后面的还想赶上跨省[泪奔],7323036659463785791,1705163196,0,0,湖北
7323609576522810121,如果不全国统一考试，那么流失的人才其实更多吧，毕竟人多的地方，竞争大，人才水平也比竞争小的地方高很多,7323036659463785791,1705160738,2,7,河南
7323608435679920947,删我评论，我说啥了,7323036659463785791,1705160469,0,0,河南
7323608378956481315,河南回流生，去年西安，今年黑龙江[泪奔][赞],7323036659463785791,1705160458,9,2,陕西
7323606876171600679,河南向中央要名额要指标的时候，各省都支持一下，河南的高考录取率上去了，就不会大量移民了,7323036659463785791,1705160107,8,4,河南
7323597358607401762,河北的也没说啥啊[泪奔][泪奔],7323036659463785791,1705157891,0,1,北京
7323593483657741090,为什么我们这么难？[泣不成声][泣不成声][泣不成声],7323036659463785791,1705156989,5,5,河南
7323592886004007680,河南孩子太苦了,7323036659463785791,1705156849,5,3,河南
7323591302237848332,[吐血][吐血][吐血][吐血][吐血][吐血][吐血][吐血],7323036659463785791,1705156479,0,0,天津
7323586661064311592,都是中国。人家就是要搬家 有什么问题。其他地区人也可以去河南读书啊。,7323036659463785791,1705155399,12,17,广东
7323577104456680192,你就说为什么会有这个事件？还有说一起学一起考的。大家每天一起工作N小时，为啥工资不一样呢？为什么呢？,7323036659463785791,1705153176,4,5,河南
7323553362812568370,最主要黑龙江政策允许初四转过去吗？允许的话怎么弄,7323036659463785791,1705147646,1,3,江苏
7323549542543983412,欢迎来江苏中考、高考[看][看]，双手欢迎你们,7323036659463785791,1705146757,2,1,江苏
7323546775380935487,这种事儿哪都有，初高中老师很多都见过这种学生,7323036659463785791,1705146111,1,0,河南
7323545539441001242,那些说全国统一考试试卷的人真是站着说话不腰疼[尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑],7323036659463785791,1705145824,5,0,内蒙古
7323621485426311951,曾经的我有个海南户口[泣不成声],7323036659463785791,1705163510,2,0,河南
7323544421336138534,法无禁止皆可为,7323036659463785791,1705145563,2,2,湖北
7323541968457450276,更关键的问题不应该是为什么可以学籍在一个地方人在另一个地方？为什么会有这种漏洞？,7323036659463785791,1705144995,5,1,吉林
7323525057853473599,这跟哪里人没关系，对于学校来说肯定想收优质生源,7323036659463785791,1705143919,1,1,河南
7323531835546403635,[赞][赞][赞],7323036659463785791,1705142633,0,0,陕西
